timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2019-12-04T00:00:00.000Z";"2019-12-04T23:59:59.999Z";"2019-12-04T15:54:12.000Z";"2019-12-04T01:03:11.000Z";"2781";0.0321758308;0.0383200833;0.0315860772;0.0372332695;2411.61;1493693.25253614;"2019-12-04T23:59:59.999Z"
"2019-12-03T00:00:00.000Z";"2019-12-03T23:59:59.999Z";"2019-12-03T00:58:03.000Z";"2019-12-03T10:38:05.000Z";"2781";0.0331279863;0.0343019712;0.0320109172;0.0321739967;1270.67;1290729.56775302;"2019-12-03T23:59:59.999Z"
"2019-12-02T00:00:00.000Z";"2019-12-02T23:59:59.999Z";"2019-12-02T04:47:10.000Z";"2019-12-02T06:24:07.000Z";"2781";0.0336299039;0.0344701547;0.032037502;0.0331279863;1704.46;1329000.92374528;"2019-12-02T23:59:59.999Z"
"2019-12-01T00:00:00.000Z";"2019-12-01T23:59:59.999Z";"2019-12-01T07:19:03.000Z";"2019-12-01T17:32:09.000Z";"2781";0.0349707316;0.036762515;0.0322160464;0.0336349484;1562.39;1349338.80668734;"2019-12-01T23:59:59.999Z"
"2019-11-30T00:00:00.000Z";"2019-11-30T23:59:59.999Z";"2019-11-30T01:19:11.000Z";"2019-11-30T06:28:07.000Z";"2781";0.0412347311;0.0425438822;0.0327987835;0.0350012393;1776.26;1404150.52550286;"2019-11-30T23:59:59.999Z"
"2019-11-29T00:00:00.000Z";"2019-11-29T23:59:59.999Z";"2019-11-29T10:16:09.000Z";"2019-11-29T00:06:07.000Z";"2781";0.0371844419;0.0442215007;0.0371279501;0.0412304796;2325.48;1654049.99558034;"2019-11-29T23:59:59.999Z"
"2019-11-28T00:00:00.000Z";"2019-11-28T23:59:59.999Z";"2019-11-28T02:31:05.000Z";"2019-11-28T10:38:07.000Z";"2781";0.0405163387;0.0435536901;0.0370374141;0.037185366;1606.59;1491771.49965803;"2019-11-28T23:59:59.999Z"
"2019-11-27T00:00:00.000Z";"2019-11-27T23:59:59.999Z";"2019-11-27T08:13:10.000Z";"2019-11-27T00:02:07.000Z";"2781";0.0316043694;0.0434059798;0.031497381;0.0405201733;2115.97;1625554.52032985;"2019-11-27T23:59:59.999Z"
"2019-11-26T00:00:00.000Z";"2019-11-26T23:59:59.999Z";"2019-11-26T15:16:02.000Z";"2019-11-26T13:24:14.000Z";"2781";0.0318823327;0.0346023811;0.0307682292;0.032708157;2098.08;1312158.56537129;"2019-11-26T23:59:59.999Z"
"2019-11-25T00:00:00.000Z";"2019-11-25T23:59:59.999Z";"2019-11-25T21:08:06.000Z";"2019-11-25T05:52:05.000Z";"2781";0.0304005587;0.0328660972;0.0298474922;0.0318779567;1317.25;1278853.28223527;"2019-11-25T23:59:59.999Z"
"2019-11-24T00:00:00.000Z";"2019-11-24T23:59:59.999Z";"2019-11-24T00:06:10.000Z";"2019-11-24T18:59:08.000Z";"2781";0.0397093813;0.0397912367;0.0301199925;0.0304167077;7364.43;1220232.11361517;"2019-11-24T23:59:59.999Z"
"2019-11-23T00:00:00.000Z";"2019-11-23T23:59:59.999Z";"2019-11-23T17:40:07.000Z";"2019-11-23T21:47:08.000Z";"2781";0.0389753271;0.041321543;0.0380440925;0.0397095864;1960.46;1593036.07134582;"2019-11-23T23:59:59.999Z"
"2019-11-22T00:00:00.000Z";"2019-11-22T23:59:59.999Z";"2019-11-22T03:20:13.000Z";"2019-11-22T23:12:14.000Z";"2781";0.0401255982;0.044552069;0.0401221619;0.0403831831;2737.13;1620058.85806535;"2019-11-22T23:59:59.999Z"
"2019-11-21T00:00:00.000Z";"2019-11-21T23:59:59.999Z";"2019-11-21T12:55:08.000Z";"2019-11-21T03:23:05.000Z";"2781";0.0382814073;0.0438056238;0.0374941657;0.0401255982;1979.78;1609725.28386277;"2019-11-21T23:59:59.999Z"
"2019-11-20T00:00:00.000Z";"2019-11-20T23:59:59.999Z";"2019-11-20T07:39:13.000Z";"2019-11-20T23:13:11.000Z";"2781";0.0389941109;0.0427147789;0.0377852897;0.0382814073;1690.94;1535741.56988739;"2019-11-20T23:59:59.999Z"
"2019-11-19T00:00:00.000Z";"2019-11-19T23:59:59.999Z";"2019-11-19T02:14:10.000Z";"2019-11-19T18:25:02.000Z";"2781";0.0407469501;0.0429098383;0.0380215353;0.0389941109;2104.97;1564333.21866582;"2019-11-19T23:59:59.999Z"
"2019-11-18T00:00:00.000Z";"2019-11-18T23:59:59.999Z";"2019-11-18T14:25:04.000Z";"2019-11-18T16:14:06.000Z";"2781";0.0415472819;0.0441462576;0.0390171033;0.0407649666;2521.58;1635374.93043185;"2019-11-18T23:59:59.999Z"
"2019-11-17T00:00:00.000Z";"2019-11-17T23:59:59.999Z";"2019-11-17T13:02:08.000Z";"2019-11-17T04:37:09.000Z";"2781";0.0404115818;0.0443111228;0.0387120593;0.0415556215;2359.62;1667093.76764161;"2019-11-17T23:59:59.999Z"
"2019-11-16T00:00:00.000Z";"2019-11-16T23:59:59.999Z";"2019-11-16T10:29:03.000Z";"2019-11-16T01:31:05.000Z";"2781";0.0401146354;0.0429535538;0.0384249237;0.0404115818;1572.18;1621198.13512038;"2019-11-16T23:59:59.999Z"
"2019-11-15T00:00:00.000Z";"2019-11-15T23:59:59.999Z";"2019-11-15T00:03:08.000Z";"2019-11-15T20:17:09.000Z";"2781";0.0415547902;0.0416061444;0.0386841223;0.0401082131;2367.44;1609027.842186;"2019-11-15T23:59:59.999Z"
"2019-11-14T00:00:00.000Z";"2019-11-14T23:59:59.999Z";"2019-11-14T21:32:14.000Z";"2019-11-14T13:17:08.000Z";"2781";0.0431620568;0.0439004193;0.0375839674;0.0415553054;2624.93;1667081.08461563;"2019-11-14T23:59:59.999Z"
"2019-11-13T00:00:00.000Z";"2019-11-13T23:59:59.999Z";"2019-11-13T16:58:13.000Z";"2019-11-13T08:18:08.000Z";"2781";0.041205689;0.044179813;0.0393300369;0.0431550802;1842.04;1731259.51551292;"2019-11-13T23:59:59.999Z"
